Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1980,1.243,1.271,1.201,1.199,1.162,1.190,1.153,1.158,1.170,1.134,1.147,1.122,
1981,1.141,1.241,1.332,1.416,1.430,1.455,1.428,1.457,1.443,1.470,1.459,1.413,
1982,1.465,1.537,1.552,1.511,1.489,1.483,1.442,1.454,1.429,1.435,1.434,1.410,
1983,1.418,1.390,1.396,1.387,1.360,1.343,1.339,1.367,1.352,1.370,1.379,1.379,
1984,1.408,1.521,1.565,1.630,1.670,1.660,1.664,1.687,1.651,1.674,1.664,1.646,
1985,1.685,1.694,1.732,1.751,1.771,1.751,1.758,1.778,1.766,1.766,1.773,1.818,
1986,1.756,1.651,1.635,1.579,1.535,1.501,1.488,1.493,1.458,1.449,1.482,1.467,
1987,1.512,1.499,1.476,1.490,1.550,1.542,1.531,1.557,1.556,1.544,1.514,1.591,
1988,1.638,1.735,1.736,1.866,1.879,1.902,1.862,1.861,1.835,1.854,1.881,1.820,
1989,1.868,1.834,1.834,1.837,1.867,1.854,1.857,1.900,1.920,1.893,1.835,1.797,
1990,1.817,1.980,2.150,2.214,2.241,2.276,2.289,2.227,2.262,2.210,2.102,2.021,
1991,2.005,1.971,1.902,1.909,1.877,1.848,1.807,1.767,1.756,1.718,1.771,1.739,
1992,1.879,1.963,1.922,1.976,1.959,1.933,1.936,1.906,1.877,1.830,1.774,1.700,
1993,1.677,1.753,1.619,1.627,1.572,1.587,1.558,1.610,1.626,1.615,1.643,1.672,
1994,1.674,1.648,1.665,1.662,1.600,1.598,1.640,1.578,1.594,1.574,1.550,1.549,
1995,1.583,1.609,1.629,1.632,1.632,1.620,1.639,1.642,1.607,1.583,1.550,1.573,
1996,1.577,1.625,1.609,1.657,1.704,1.743,1.774,1.765,1.733,1.761,1.747,1.735,
1997,1.737,1.768,1.747,1.727,1.736,1.752,1.770,1.755,1.695,1.711,1.666,1.670,
1998,1.601,1.568,1.587,1.634,1.589,1.633,1.655,1.668,1.599,1.655,1.654,1.679,
1999,1.753,1.780,1.741,1.779,1.764,1.758,1.813,1.825,1.825,1.784,1.841,1.822,
2000,1.823,1.811,1.807,1.819,1.802,1.800,1.875,1.882,1.837,1.863,1.884,1.878,
2001,1.863,1.909,1.808,1.872,1.886,1.926,1.937,1.875,1.870,1.904,1.912,1.925,
2002,1.876,1.937,1.870,1.889,1.824,1.890,1.842,1.800,1.840,1.795,1.776,1.806,
2003,1.848,1.875,1.809,1.783,1.727,1.822,1.831,1.882,1.896,1.975,1.905,1.834,
2004,1.957,1.873,1.829,1.861,1.818,1.912,1.878,1.873,1.815,1.933,1.922,1.961,
2005,1.872,1.835,1.846,1.918,1.840,1.809,1.834,1.852,1.782,1.806,1.784,1.780,
2006,1.853,1.870,1.895,1.911,1.912,1.886,1.940,1.989,2.013,2.015,2.160,2.232,
2007,2.314,2.414,2.463,2.517,2.456,2.512,2.538,2.568,2.590,2.574,2.561,2.528,
2008,2.544,2.529,2.543,2.559,2.534,2.528,2.503,2.522,2.544,2.509,2.580,2.558,
2009,2.570,2.611,2.634,2.623,2.601,2.612,2.579,2.489,2.522,2.530,2.495,2.530,
2010,2.501,2.481,2.515,2.450,2.488,2.408,2.464,2.514,2.463,2.461,2.403,2.455,
2011,2.461,2.434,2.459,2.499,2.631,2.634,2.734,2.730,2.720,2.749,2.788,2.755,
2012,2.753,2.769,2.782,2.781,2.642,2.639,2.643,2.625,2.610,2.652,2.595,2.604,
2013,2.511,2.487,2.484,2.555,2.606,2.512,2.540,2.539,,,,,
