Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1980,3.208,3.258,3.248,3.209,3.200,3.181,3.233,3.230,3.159,3.053,2.913,2.818,
1981,2.777,2.595,2.557,2.562,2.538,2.517,2.512,2.492,2.460,2.451,2.408,2.457,
1982,2.475,2.552,2.564,2.585,2.567,2.527,2.502,2.515,2.517,2.500,2.481,2.501,
1983,2.528,2.519,2.478,2.466,2.459,2.470,2.454,2.451,2.438,2.432,2.454,2.437,
1984,2.495,2.546,2.546,2.549,2.567,2.598,2.609,2.606,2.617,2.616,2.594,2.593,
1985,2.585,2.594,2.621,2.603,2.606,2.614,2.590,2.564,2.563,2.573,2.549,2.505,
1986,2.737,3.554,3.740,3.706,3.655,3.646,3.594,3.462,3.315,3.269,3.268,3.247,
1987,3.192,3.087,2.960,2.865,2.777,2.737,2.709,2.636,2.654,2.670,2.581,2.553,
1988,2.635,2.665,2.634,2.699,2.729,2.735,2.784,2.834,2.840,2.855,2.892,2.925,
1989,2.964,3.052,3.039,3.115,3.163,3.167,3.225,3.171,3.098,3.038,2.903,2.937,
1990,2.917,2.965,2.891,2.885,2.938,2.977,3.054,3.027,3.025,3.030,2.945,2.941,
1991,2.945,2.971,2.894,2.924,2.879,2.866,2.805,2.724,2.692,2.706,2.673,2.625,
1992,2.668,2.688,2.631,2.612,2.660,2.625,2.645,2.613,2.537,2.492,2.391,2.364,
1993,2.352,2.452,2.462,2.477,2.514,2.533,2.548,2.500,2.493,2.415,2.433,2.480,
1994,2.530,2.529,2.515,2.516,2.535,2.598,3.341,4.480,4.458,4.450,4.482,4.382,
1995,4.398,4.234,4.108,4.084,4.067,4.059,4.027,4.051,3.996,3.865,3.814,3.752,
1996,3.577,3.590,3.550,3.527,3.444,3.438,3.380,3.390,3.333,3.344,3.283,3.307,
1997,3.300,3.316,3.512,3.894,4.109,4.428,4.628,4.669,4.617,4.392,4.303,4.161,
1998,4.025,3.973,4.033,3.959,3.878,3.786,3.771,3.704,3.620,3.503,3.482,3.446,
1999,3.435,3.428,3.476,3.466,3.495,3.421,3.420,3.428,3.393,3.482,3.337,3.347,
2000,3.540,3.677,3.633,3.584,3.531,3.431,3.446,3.444,3.339,3.317,3.243,3.212,
2001,3.224,3.217,3.205,3.128,3.097,3.156,3.097,3.046,3.025,3.015,2.988,2.913,
2002,2.936,2.946,2.859,2.976,3.011,2.938,2.977,2.929,2.921,2.872,2.882,2.838,
2003,2.999,2.924,2.933,3.008,2.937,2.931,2.944,2.921,2.919,2.825,2.779,2.875,
2004,2.892,2.856,2.932,2.908,2.831,2.750,2.878,2.878,2.874,2.840,2.778,2.776,
2005,3.049,2.940,3.009,3.240,3.329,3.416,3.334,3.482,3.376,3.447,3.293,3.235,
2006,3.232,3.174,3.301,3.292,3.349,3.158,3.154,3.196,3.173,3.138,3.158,3.113,
2007,3.288,3.456,3.475,3.437,3.308,3.407,3.529,3.497,,,3.607,3.685,
2009,,,,,,,,,,,,3.669,
2010,3.811,3.736,3.565,3.641,3.664,3.697,3.857,3.935,4.174,4.175,4.467,4.146,
2011,4.417,4.218,4.642,5.101,5.129,5.234,5.547,5.766,5.651,5.511,5.636,5.437,
2012,5.497,5.382,5.558,5.513,5.596,5.582,5.723,5.693,5.693,5.888,6.066,5.921,
2013,5.902,5.742,6.014,5.674,5.678,5.588,5.394,5.214,,,,,
