Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1978,,,,,,,,,,,0.046,0.046,
1979,0.046,0.047,0.047,0.048,0.049,0.052,0.053,0.053,0.053,0.053,0.051,0.052,
1980,0.053,0.055,0.056,0.056,0.058,0.063,0.064,0.064,0.065,0.063,0.061,0.062,
1981,0.063,0.064,0.065,0.066,0.067,0.071,0.073,0.075,0.074,0.072,0.071,0.071,
1982,0.073,0.073,0.075,0.075,0.075,0.079,0.079,0.079,0.079,0.077,0.074,0.075,
1983,0.075,0.075,0.076,0.075,0.077,0.081,0.082,0.082,0.082,0.080,0.077,0.077,
1984,0.078,0.079,0.079,0.080,0.081,0.086,0.087,0.089,0.084,0.081,0.079,0.078,
1985,0.079,0.079,0.079,0.080,0.080,0.085,0.085,0.085,,0.082,0.080,0.080,
1986,0.081,0.075,0.075,0.074,0.074,0.080,0.080,0.080,0.080,0.074,0.073,0.073,
1987,0.075,0.076,0.076,0.076,0.076,0.084,0.084,0.085,0.084,0.078,0.077,0.077,
1988,0.078,0.078,0.078,0.077,0.077,0.084,0.084,0.084,0.084,0.080,0.078,0.078,
1989,0.079,0.079,0.079,0.079,0.080,0.086,0.086,0.086,0.086,0.081,0.080,0.081,
1990,0.081,0.081,0.081,0.082,0.082,0.088,0.087,0.087,0.088,0.083,0.082,0.082,
1991,0.084,0.084,0.085,0.084,0.085,0.090,0.091,0.090,0.091,0.087,0.084,0.085,
1992,0.085,0.084,0.086,0.086,0.087,0.092,0.092,0.091,0.092,0.088,0.086,0.088,
1993,0.089,0.087,0.088,0.088,0.090,0.094,0.095,0.097,0.097,0.093,0.091,0.090,
1994,0.090,0.090,0.089,0.088,0.090,0.095,0.095,0.096,0.096,0.093,0.091,0.091,
1995,0.091,0.091,0.091,0.090,0.092,0.098,0.098,0.098,0.097,0.094,0.092,0.091,
1996,0.091,0.091,0.092,0.092,0.092,0.096,0.099,0.099,0.099,0.095,0.092,0.092,
1997,0.092,0.092,0.093,0.092,0.093,0.099,0.099,0.098,0.099,0.093,0.092,0.090,
1998,0.086,0.085,0.085,0.085,0.086,0.091,0.091,0.090,0.089,0.086,0.084,0.084,
1999,0.084,0.084,0.084,0.084,0.085,0.089,0.090,0.089,0.090,0.087,0.085,0.085,
2000,0.084,0.085,0.085,0.085,0.085,0.090,0.091,0.091,0.091,0.088,0.086,0.086,
2001,0.088,0.088,0.089,0.089,0.090,0.097,0.099,0.098,0.097,0.093,0.090,0.090,
2002,0.089,0.089,0.089,0.088,0.089,0.095,0.095,0.095,0.095,0.091,0.089,0.089,
2003,0.089,0.089,0.089,0.091,0.092,0.097,0.098,0.098,0.098,0.093,0.090,0.090,
2004,0.091,0.091,0.091,0.091,0.093,0.099,0.099,0.100,0.099,0.094,0.092,0.092,
2005,0.094,0.094,0.094,0.095,0.097,0.104,0.105,0.105,0.106,0.102,0.102,0.102,
2006,0.108,0.108,0.109,0.109,0.110,0.118,0.118,0.118,0.118,0.112,0.110,0.110,
2007,0.113,0.113,0.113,0.113,0.115,0.122,0.122,0.121,0.121,0.117,0.115,0.115,
2008,0.116,0.116,0.116,0.118,0.120,0.128,0.131,0.132,0.130,0.126,0.123,0.124,
2009,0.126,0.126,0.126,0.125,0.126,0.132,0.131,0.130,0.130,0.126,0.124,0.124,
2010,0.124,0.123,0.125,0.126,0.127,0.132,0.133,0.133,0.132,0.127,0.125,0.125,
2011,0.125,0.125,0.127,0.127,0.129,0.134,0.135,0.135,0.135,0.130,0.128,0.127,
2012,0.128,0.128,0.127,0.127,0.129,0.135,0.133,0.133,0.133,0.128,0.127,0.127,
2013,0.129,0.129,0.128,0.128,0.131,0.137,0.137,0.137,,,,,
